step,mode,sequence_length,latency_ms,tokens_per_sec,kv_memory_mb,model_forward_ms,importance_scoring_ms,quantization_ms,dequantization_ms,precision_assignment_ms,tensor_copy_relayout_ms
2,blocked_int8,128,10.17245789989829,98.30465850441107,0.0012359619140625,7.382499985396862,0.0,0.6390828639268875,1.7621670849621296,0.0,0.0
3,blocked_int8,128,9.382041869685054,106.58660597445927,0.0012359619140625,6.920584011822939,0.0,0.6125830113887787,1.4904169365763664,0.0,0.0
4,blocked_int8,128,9.567333152517676,104.52233491386747,0.0012359619140625,7.139499997720122,0.0,0.5959169939160347,1.468125032261014,0.0,0.0
5,blocked_int8,128,9.282708866521716,107.72717472660604,0.0012359619140625,6.935084005817771,0.0,0.5434169434010983,1.433208817616105,0.0,0.0
6,blocked_int8,128,9.869750123471022,101.31968768104102,0.0012359619140625,7.313333917409182,0.0,0.5722921341657639,1.6032920684665442,0.0,0.0
7,blocked_int8,128,9.61249996908009,104.03120969743934,0.0012359619140625,7.175041129812598,0.0,0.5775419995188713,1.4884578995406628,0.0,0.0
8,blocked_int8,128,9.502332890406251,105.23731503972255,0.0012359619140625,7.120833965018392,0.0,0.5692918784916401,1.4540827833116055,0.0,0.0
9,blocked_int8,128,9.461041074246168,105.69661331691,0.0012359619140625,7.110083010047674,0.0,0.5680001340806484,1.4269999228417873,0.0,0.0
10,blocked_int8,128,9.393499931320548,106.45659310282434,0.0012359619140625,7.0247498806566,0.0,0.5415000487118959,1.4709169045090675,0.0,0.0
11,blocked_int8,128,9.37558407895267,106.66002156014031,0.0012359619140625,7.079249946400523,0.0,0.5372499581426382,1.4246250502765179,0.0,0.0
12,blocked_int8,128,9.344958001747727,107.00957669504523,0.0012359619140625,7.04145897179842,0.0,0.5422499962151051,1.380707835778594,0.0,0.0
13,blocked_int8,128,9.900582954287529,101.00415345410967,0.0012359619140625,7.3292499873787165,0.0,0.5734169390052557,1.5958340372890234,0.0,0.0
